Time,Ground Truth,Estimation
0,300,257
1,300,258
2,300,193
3,300,258
4,300,321
5,300,257
6,300,321
7,300,257
8,300,289
9,300,161
10,300,257
11,300,385
12,300,385
13,300,514
14,300,257
15,300,321
16,300,258
17,300,257
18,300,385
19,300,337
20,300,258
21,300,162
22,300,385
23,300,193
24,300,321
25,300,258
26,300,321
27,300,321
28,300,257
29,300,353
30,300,385
31,300,257
32,300,274
33,300,321
34,300,225
35,300,321
36,300,514
37,300,449
38,300,225
39,300,257
40,300,258
41,300,321
42,300,258
43,300,433
44,300,385
45,300,513
46,300,449
47,300,289
48,300,274
49,300,258
50,300,257
51,300,321
52,300,321
53,300,321
54,300,274
55,300,274
56,300,321
57,300,385
58,300,321
59,300,193
60,300,274
61,300,258
62,300,385
63,300,385
64,300,513
65,300,258
66,300,258
67,300,257
68,300,322
69,300,193
70,300,353
71,300,385
72,300,353
73,300,258
74,300,321
75,300,321
76,300,385
77,300,257
78,300,257
79,300,321
80,300,369
81,300,258
82,300,289
83,300,258
84,300,337
85,300,258
86,300,386
87,300,321
88,300,258
89,300,322
90,300,258
91,300,513
92,300,449
93,300,258
94,300,321
95,300,321
96,300,401
97,300,258
98,300,289
99,300,273